Chi_tieu,Gia_tri,Don_vi
Số dư tại ngày 1 tháng 1 năm 2021,59355776093647,VND
Lợi nhuận thuần trong năm,8567931679810,VND
Trả cổ tức bằng tiền,-1656641329500,VND
"Phân bổ vào quỹ khen thưởng, phúc lợi",-306000000000,VND
Sử dụng trong năm,-10092308034,VND
Số dư tại ngày 1 tháng 1 năm 2022,65950974135923,VND
Lợi nhuận thuần trong năm,5460660998365,VND
Trả cổ tức bằng tiền (Thuyết minh 22),-2236461353000,VND
"Phân bổ vào quỹ khen thưởng, phúc lợi",-761000000000,VND
Sử dụng trong năm,-88766869906,VND
Số dư tại ngày 31 tháng 12 năm 2022,68325406911382,VND
