Chi_tieu,Gia_tri,Don_vi
Doanh thu lãi,62200250,Trieu dong
Lãi thuần từ hoạt động dịch vụ,6437752,Trieu dong
Lãi thuần từ hoạt động kinh doanh khác,10338279,Trieu dong
Chi phí lãi,-21179192,Trieu dong
Chi phí khấu hao tài sản cố định,-366377,Trieu dong
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,-13749354,Trieu dong
Kết quả kinh doanh trước chi phí dự phòng rủi ro,43681358,Trieu dong
Chi phí dự phòng rủi ro,-22461226,Trieu dong
Kết quả kinh doanh bộ phận III. Tài sản,21220132,Trieu dong
Tiền mặt,2658493,Trieu dong
Tài sản cố định,1858126,Trieu dong
Tài sản khác,626496267,Trieu dong
Nợ phải trả khách hàng bên ngoài,517697584,Trieu dong
Nợ phải trả nội bộ,261019,Trieu dong
Nợ phải trả khác,9552363,Trieu dong
