Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng",2204642,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),1850890,Trieu VND
Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,16977765,Trieu VND
Tiền gửi tại các TCTD khác,14730353,Trieu VND
Cho vay các TCTD khác,2247412,Trieu VND
Chứng khoán kinh doanh,21050,Trieu VND
Chứng khoán kinh doanh,39287,Trieu VND
Dự phòng rủi ro chứng khoán kinh doanh,-18237,Trieu VND
Cho vay khách hàng,78183477,Trieu VND
Cho vay khách hàng,79015568,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-832091,Trieu VND
Hoạt động mua nợ,2149,Trieu VND
Mua nợ,2744,Trieu VND
Dự phòng rủi ro hoạt động mua nợ,-595,Trieu VND
Chứng khoán đầu tư,55676927,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,55845414,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-168487,Trieu VND
"Góp vốn, đầu tư dài hạn",798312,Trieu VND
Đầu tư vào công ty con,797076,Trieu VND
Đầu tư dài hạn khác,1236,Trieu VND
Tài sản cố định,287324,Trieu VND
Tài sản cố định hữu hình,124939,Trieu VND
Nguyên giá,681113,Trieu VND
Giá trị hao mòn lũy kế,-556174,Trieu VND
Tài sản cố định vô hình,162385,Trieu VND
Nguyên giá,448311,Trieu VND
Giá trị hao mòn lũy kế,-285926,Trieu VND
