Chi_tieu,Gia_tri,Don_vi
Phải trả các bên liên quan,311704903569,%
Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP:,311704903569,%
- Phải trả cổ tức,262029793000,%
- Phải trả tiền thu hộ căn hộ Sunrise,43192787216,%
- Phải trả tiền thu hộ thuê văn phòng Becamex Tower,2646826798,%
- Phải trả tiền thu hộ căn hộ New Horizon,1948734160,%
- Phải trả tiền thu hộ Ban Quản lý Chung cư Sunrise,1886762395,%
Phải trả các các tổ chức và cá nhân khác,38432967763,%
"Kinh phí công đoàn, Bảo hiểm xã hội",1205021183,%
"Thù lao Hội đồng quản trị, Ban kiểm soát và Thư ký",1218000000,%
Cổ tức phải trả,1246392145,%
Phải trả doanh thu cho gian hàng tại Trung tâm thương mại Becamex,136215907,%
"Nhận ký quỹ, ký cược ngắn hạn",24504527814,%
Các khoản phải trả ngắn hạn khác,10122810714,%
