Chi_tieu,Gia_tri,Don_vi
Vốn góp đầu năm,3799609710000,USD
Vốn góp cuối năm,3799609710000,USD
"Cổ tức, lợi nhuận phải trả đầu năm",1493572319,USD
"Cổ tức, lợi nhuận phải trả trong năm",11749750000,USD
"Cổ tức, lợi nhuận chia trên lợi nhuận năm trước",11749750000,USD
"Cổ tức, lợi nhuận đã chi trả bằng tiền",7549750000,USD
"Cổ tức, lợi nhuận chia trên lợi nhuận năm trước",7549750000,USD
"Cổ tức, lợi nhuận còn phải trả cuối năm",5693572319,USD
Số lượng cổ phiếu đăng ký phát hành,379960971,Co phieu
Số lượng cổ phiếu đã bán ra công chúng,379960971,Co phieu
Cổ phiếu phổ thông,379960971,USD
Số lượng cổ phiếu đang lưu hành,379960971,Co phieu
Cổ phiếu phổ thông,379960971,USD
Quỹ đầu tư phát triển,8728889757,USD
