Chi_tieu,Gia_tri,Don_vi
Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),22575115088964,VND
Tiền và các khoản tương đương tiền,13013125962658,VND
Các khoản tương đương tiền,12905800000000,VND
Đầu tư tài chính ngắn hạn,169375000000,VND
Đầu tư nằm giữ đến ngày đáo hạn,169375000000,VND
Các khoản phải thu ngắn hạn,7074166026539,VND
Phải thu của khách hàng,600955375527,VND
Trả trước cho người bán,171698115803,VND
Phải thu về cho vay ngắn hạn,4086581871592,VND
Phải thu ngắn hạn khác,2214930663617,VND
Hàng tồn kho,2254893287268,VND
Hàng tồn kho,2292547543677,VND
Dự phòng giảm giá hàng tồn kho,-37654256409,VND
Tài sản ngắn hạn khác,63554812499,VND
Chi phí trả trước ngắn hạn,16622626382,VND
Thuế giá trị gia tăng được khấu trừ,44465916280,VND
Thuế và các khoản khác phải thu Nhà nước,2466269837,VND
