Chi_tieu,Gia_tri,Don_vi
C. NỘ PHẢI TRẢ,326454566169,VND
I. Nợ ngắn hạn,315146608222,VND
1. Phải trả người bán ngắn hạn,59887433037,VND
2. Người mua trả tiền trước ngắn hạn,19040979988,VND
3. Thuế và các khoản phải nộp Nhà nước,14980252473,VND
4. Chi phí phải trả ngắn hạn,1476893150,VND
5. Doanh thu chưa thực hiện ngắn hạn,16981880516,VND
6. Phải trả ngắn hạn khác,54029963663,VND
7. Vay và nợ thuê tài chính ngắn hạn,138303975600,VND
8. Dự phòng phải trả ngắn hạn,3986926513,VND
9. Quỹ khen thưởng phúc lợi,6458303282,VND
II. Nợ dài hạn,11307957947,VND
1. Doanh thu chưa thực hiện dài hạn,9742370326,VND
2. Dự phòng phải trả dài hạn,1565587621,VND
D. VỐN CHỦ SỞ HỮU,4166136529341,VND
I. Vốn chủ sở hữu,4166136529341,VND
1. Vốn góp của chủ sở hữu,3214481530000,VND
Cổ phiếu phổ thông có quyền biểu quyết,3214481530000,VND
2. Thặng dư vốn cổ phần,1976351645,VND
3. Quỹ đầu tư phát triển,19572915034,VND
4. Lợi nhuận sau thuế chưa phân phối,852278552896,VND
LNST chưa phân phối lũy kế đến cuối Năm trước,630281878729,VND
LNST chưa phân phối năm nay,221996674167,VND
5.. Lợi ích cổ đông không kiểm soát,77827179766,VND
TỔNG CỘNG NGUỒN VỐN,4492591095510,VND
