Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,5958136734179,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,5958136734179,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-3951189054513,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,2006947679666,VND
6. Doanh thu hoạt động tài chính,739985514485,VND
8. Phần lãi trong công ty liên kết,225007516703,VND
9. Chi phí bán hàng,-176174313027,VND
10. Chi phí quản lý doanh nghiệp,-227080836092,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh,1295879421892,VND
12. Thu nhập khác,163571669267,VND
13. Chi phí khác,-132592721819,VND
14. Lợi nhuận khác,30978947448,VND
15. Tổng lợi nhuận kế toán trước thuế,1326858369340,VND
16. Chi phí thuế TNDN hiện hành,-226581427217,VND
17. (Chi phí)/thu nhập thuế TNDN hoãn lại,-10378573193,VND
18. Lợi nhuận sau thuế TNDN,1089898368930,VND
19. Lợi nhuận sau thuế của công ty mẹ,1089883818132,VND
20. Lãi/(lỗ) sau thuế thuộc về các cổ đông không kiểm soát,14550798,VND
