Chi_tieu,Gia_tri,Don_vi
"Tiền, vàng gửi không kỳ hạn",225531638,Trieu dong
- Tiền gửi không kỳ hạn bằng VND,198316370,Trieu dong
- Tiền gửi không kỳ hạn bằng ngoại tệ,27215268,Trieu dong
"Tiền, vàng gửi có kỳ hạn",926570527,Trieu dong
- Tiền gửi có kỳ hạn bằng VND,900272636,Trieu dong
- Tiền gửi có kỳ hạn bằng ngoại tệ,26297891,Trieu dong
Tiền gửi vốn chuyên dùng,2775355,Trieu dong
- Tiền gửi vốn chuyên dùng bằng VND,2287869,Trieu dong
- Tiền gửi vốn chuyên dùng bằng ngoại tệ,487486,Trieu dong
Tiền gửi ký quỹ,4883683,Trieu dong
- Tiền gửi ký quỹ bằng VND,4169159,Trieu dong
- Tiền gửi ký quỹ bằng ngoại tệ,714524,Trieu dong
