Chi_tieu,Gia_tri,Don_vi
Phải trả tiền vay trong năm,33700000000,VND
Số tiền vay đã trả trong năm,1000000000,VND
Góp vốn trong năm,30000000000,VND
Phải thu về cho vay,24595406034,VND
Thu hồi tiền cho vay,10339800000,VND
Phải trả tiền thuê trại,880000000,VND
Tiền thuê trại đã trả,660000000,VND
Phải thu về cho vay,46898000000,VND
Phải thu về cho vay,2400000000,VND
Phải thu về cho vay,1800000000,VND
Đầu tư vào Công ty liên doanh bằng hóa,19640362522,VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,12840415321436,VND
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,12840415321436,VND
Chi phí bộ phận,-12647310218768,VND
Kết quả kinh doanh theo bộ phận,193105102668,VND
Các chi phí không phân bổ theo bộ phận,-15734524975,VND
Lợi nhuận từ hoạt động kinh doanh,177370577693,VND
Doanh thu hoạt động tài chính,4071693624,VND
Chi phí tài chính,-118151609243,VND
Thu nhập khác,1015767945,VND
Chi phí khác,-6246829069,VND
Chi phí thuế thu nhập doanh nghiệp hiện hành,-12114977813,VND
Lợi nhuận sau thuế thu nhập doanh nghiệp,45944623137,VND
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,243541233116,VND
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,-29550586358,VND
