Chi_tieu,Gia_tri,Don_vi
Số đầu năm,7786883,Trieu dong
Tăng do mua mới và nâng cấp,129520,Trieu dong
Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,136292,Trieu dong
Thanh lý và nhượng bán,-116922,Trieu dong
Giảm khác,-40,Trieu dong
Chênh lệch đánh giá lại tỷ giá,-68080,Trieu dong
Số cuối năm,7867653,Trieu dong
Số đầu năm,3040399,Trieu dong
Khấu hao trong năm,434566,Trieu dong
Thanh lý và nhượng bán,-90009,Trieu dong
Chênh lệch đánh giá lại tỷ giá,-35977,Trieu dong
Số cuối năm,3348979,Trieu dong
Số đầu năm,4746484,Trieu dong
Số cuối năm,4518674,Trieu dong
