Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,13873411995701,VND
2. Các khoản giảm trừ doanh thu,43196975646,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),13830215020055,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,8182344566381,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5647870453674,VND
6. Doanh thu hoạt động tài chính,1121661214511,VND
7. Chi phí tài chính,606234236094,VND
- Trong đó: Chi phí lãi vay,96165565685,VND
"8. Phần lãi trong công ty liên doanh, liên kết",256923198656,VND
9. Chi phí bán hàng,293254169925,VND
10. Chi phí quản lý doanh nghiệp,808621588698,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),5318344872124,VND
12. Thu nhập khác,27520800657,VND
13. Chi phí khác,2391829786,VND
14. Lợi nhuận/(Lỗ) khác (40=31-32),25128970871,VND
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),5343473842995,VND
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,1051976137429,VND
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,169777526995,VND
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),4121720178571,VND
Phân bổ cho:- Cổ đông của Công ty mẹ,4100501029638,VND
- Lợi ích của cổ đông không kiểm soát,21219148933,VND
19. Lãi cơ bản trên cổ phiếu,1883,VND/co phieu
