Chi_tieu,Gia_tri,Don_vi
Phải trả các bên liên quan,2899049210337,
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,2726562254815,
Công ty Cổ phần Bê tông Becamex,19121724461,
Công ty Liên doanh TNHH Khu công nghiệp Việt Nam - Singapore,81468184652,
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,39233260912,
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,13663785497,
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,19000000000,
Phải trả các nhà cung cấp khác,40286924911,
Công ty TNHH Dịch vụ và Xây dựng Tấn Hào Phát,3672738264,
Công ty Cổ phần Xây lắp và Vật tư Xây dựng 2,96307200,
Công ty TNHH Tư vấn và Kỹ thuật Bách Phương,15508420347,
Các nhà cung cấp khác,21009459100,
