Chi_tieu,Gia_tri,Don_vi
Doanh thu thuần về bán hàng và cung cấp dịch vụ,89503575774,VND
Giá vốn hàng bán và dịch vụ cung cấp,-37659032779,VND
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,51844542995,VND
Doanh thu hoạt động tài chính,404739391110,VND
Chi phí tài chính,-96115472627,VND
Trong đó: Chi phí lãi vay,-83024550012,VND
Chi phí bán hàng,-4831252628,VND
Chi phí quản lý doanh nghiệp,-68693738300,VND
Lợi nhuận thuần từ hoạt động kinh doanh,286943470550,VND
Thu nhập khác,310259471,VND
Chi phí khác,-35073270219,VND
Lỗ khác,-34763010748,VND
Tổng lợi nhuận kế toán trước thuế,252180459802,VND
Lợi nhuận sau thuế TNDN,252180459802,VND
