Chi_tieu,Gia_tri,Don_vi
1. Thu nhập lãi và các khoản thu nhập tương tự,5542515,Trieu dong
2. Chỉ phí lãi và các chỉ phí tương tự,4283296,Trieu dong
I. Thu nhập lãi thuần,1259219,Trieu dong
3. Thu nhập từ hoạt động dịch vụ,243405,Trieu dong
4. Chỉ phí hoạt động dịch vụ,99773,Trieu dong
II. Lãi/lỗ thuần từ hoạt động dịch vụ,143632,Trieu dong
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hồi,-18199,Trieu dong
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,356714,Trieu dong
5. Thu nhập từ hoạt động khác,60822,Trieu dong
6. Chỉ phí hoạt động khác,100081,Trieu dong
VI. Lãi/lỗ thuần từ hoạt động khác,-39259,Trieu dong
VIII. Chỉ phí hoạt động,950593,Trieu dong
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,751514,Trieu dong
X.1 Chỉ phí dự phòng rủi ro tín dụng,243057,Trieu dong
X.2 Các khoản xử lý theo phương án cơ cấu lại NH,506147,Trieu dong
XI. Tổng lợi nhuận trước thuế,2310,Trieu dong
7. Chỉ phí thuế TNDN hiện hành,910,Trieu dong
XII. Chỉ phí thuế Thu nhập doanh nghiệp,910,Trieu dong
XIII. Lợi nhuận sau thuế Thu nhập doanh nghiệp,1400,Trieu dong
XV. Lãi cơ bản trên cổ phiếu (VND/1 cổ phiếu),3,VND/co phieu
