Chi_tieu,Gia_tri,Don_vi
Tiền và các khoản tương đương tiền,1464088,Trieu VND
Phải thu hoạt động bảo hiểm gốc,653005,Trieu VND
Phải thu tải bảo hiểm,507404,Trieu VND
Tài sản tải bảo hiểm,3558134,Trieu VND
Các khoản phải thu khác,76180,Trieu VND
"- Các khoản cầm cố, ký quỹ, ký cược",68289,Trieu VND
- Phải thu cổ tức,7891,Trieu VND
Đầu tư tài chính,267075130,Trieu VND
Đầu tư nằm giữ đến ngày đảo hạn,262620958,Trieu VND
- Hợp đồng tiến gửi cố ký hạn,132351893,Trieu VND
- Trái phiếu,130269065,Trieu VND
Chứng khoán kinh doanh,3407291,Trieu VND
- Cổ phiếu niêm yết,3079563,Trieu VND
- Cổ phiếu chưa niêm yết,35848,Trieu VND
- Chứng chỉ quỹ,291880,Trieu VND
Đầu tư tài chính khác,1046881,Trieu VND
Cho vay và tạm ứng khách hàng,8234461,Trieu VND
Các tải sản khác,-19862,Trieu VND
TỔNG CỘNG,281548540,Trieu VND
