Chi_tieu,Gia_tri,Don_vi
"Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng",326685484544,VND
Phải trả các tổ đội thi công,68638053954,VND
Phải trả Bộ Xây dựng kinh phí nguồn sự nghiệp khoa học (i),38743400841,VND
Tiền đặt cọc thực hiện hợp đồng,25057182201,VND
Phải trả khác khách hàng mua nhà,7369986709,VND
Các khoản trích theo lương,1097095104,VND
"Cổ tức, lợi nhuận phải trả",1843999250,VND
"Nhận ký quỹ, ký cược ngắn hạn",408504000,VND
Các khoản phải trả khác,26010865757,VND
"Nhận ký quỹ, ký cược dài hạn",21276086607,VND
Trong đó: Trả trước ngắn hạn từ các bên liên quan(Chi tiết tại Thuyết minh số 41),663200500,VND
