Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi và các khoản thu nhập tương tự nhận được,128756848,Trieu VND
Chỉ phí lãi và các chỉ phí tương tự đã trả,-72374325,Trieu VND
Thu nhập từ hoạt động dịch vụ nhận được,5762682,Trieu VND
"Chênh lệch số tiền thực thu/thực chỉ từ hoạt động kinh doanh ngoại tệ, chứng khoản",4285168,Trieu VND
Thu nhập khác,405969,Trieu VND
"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",4607782,Trieu VND
"Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ",-17108267,Trieu VND
Tiền thuế thu nhập doanh nghiệp thực nộp trong năm Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,-4623873,Trieu VND
Những thay đối về tài sản hoạt động,-213016363,Trieu VND
(Tăng) các khoản tiền gửi và cho vay các TCTD khác,-9562440,Trieu VND
(Tăng)/giảm các khoản về kinh doanh chứng khoán,-8082754,Trieu VND
Giảm/(tăng) các công cụ tài chính phải sinh và các tài sản tài chính khác,3077852,Trieu VND
(Tăng) các khoản cho vay khách hàng,-196565980,Trieu VND
"(Giảm) nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tổn thất",-26684066,Trieu VND
Giảm/(tăng) khác về tài sản hoạt động,24801025,Trieu VND
Những thay đối về công nợ hoạt động,191107275,Trieu VND
(Giảm)/tăng các khoản nợ chính phủ và NHNN,-82965197,Trieu VND
"Tăng các khoản tiền gửi, tiền vay các TCTD khác",91631052,Trieu VND
Tăng tiền gửi của khách hàng,162255518,Trieu VND
Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),24005308,Trieu VND
"(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-228202,Trieu VND
Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,552633,Trieu VND
(Giảm) khác về công nợ hoạt động,-4143837,Trieu VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,27802896,Trieu VND
Mua sắm tài sản cố định,-781738,Trieu VND
"Tiền thu từ thanh lý, nhượng bán tài sản cố định",10303,Trieu VND
"Tiền chi từ thanh lý, nhượng bán tài sản cố định",-2591,Trieu VND
"Tiền chi đầu tư, góp vốn vào các đơn vị khác",-283800,Trieu VND
"Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",627606,Trieu VND
Lưu chuyển tiên thuần từ hoạt động đầu tư,-430220,Trieu VND
Lưu chuyển tiên thuần trong năm,27372676,Trieu VND
Tiền và các khoản tương đương tiền đầu năm,245998446,Trieu VND
Tiền và các khoản tương đương tiền cuối năm(Thuyết minh số 34),273371122,Trieu VND
