Chi_tieu,Gia_tri,Don_vi
Doanh thu hoạt động kinh doanh,2879241389947,VND
Lợi nhuận từ hoạt động kinh doanh,1186278037733,VND
Phần lợi nhuận từ công ty liên kết,128011407685,VND
Doanh thu hoạt động tài chính,66074831666,VND
Chi phí tài chính,-62664889037,VND
Lợi nhuận khác,17620707589,VND
Lợi nhuận trước thuế,1335320095636,VND
Chi phí thuế TNDN,-274878315250,VND
Thu nhập thuế TNDN hoãn lại,24978471969,VND
Lợi nhuận thuần sau thuế,1085420252355,VND
Lợi ích cổ đông không kiểm soát,334529506846,VND
Lợi nhuận sau thuế công ty mẹ,750890745509,VND
Tài sản bộ phận,7235045194250,VND
Tài sản không phân bổ,3029357371862,VND
Tổng tài sản,10264402566112,VND
Công nợ bộ phận,4542303200770,VND
Công nợ không phân bổ,1068254187777,VND
Tổng công nợ,5610557388547,VND
