Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",11196660,Trieu dong
Tiền gửi tại NHNN,23382941,Trieu dong
Tiền gửi tại và cho vay các TCTD khác (*),147331139,Trieu dong
Chứng khoán kinh doanh (*),1092554,Trieu dong
Các công cụ tài chính phải sinh và các tài sản tài chính khác,1454790,Trieu dong
Cho vay khách hàng (*),1120063085,Trieu dong
Chứng khoán đầu tư (*),175779263,Trieu dong
"Góp vốn, đầu tư dài hạn (*)",5551782,Trieu dong
Tài sản cố định,10222501,Trieu dong
Tài sản Có khác (*),45314207,Trieu dong
Tổng tài sản,1541388922,Trieu dong
Các khoản nợ Chính phủ và NHNN,33294404,Trieu dong
Tiền gửi và vay các TCTD khác,132994157,Trieu dong
Tiền gửi của khách hàng,1159761203,Trieu dong
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",2527930,Trieu dong
Phát hành giấy tờ có giá,64496785,Trieu dong
Các khoản nợ khác,32405553,Trieu dong
Tổng nợ phải trả,1425480032,Trieu dong
Mức chênh thanh khoản ròng,115908890,Trieu dong
