Chi_tieu,Gia_tri,Don_vi
Lợi nhuận kế toàn trước thuế,177826021027,VND
Chi phí không được khấu trừ,59263604208,VND
Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,492418397946,VND
Điều chỉnh khác,945805496,VND
Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,4933722458,VND
Lỗ các năm trước chuyển sang,-22198486304,VND
Thu nhập tính thuế,713189064831,VND
Thuế TNDN ước tính,142637812966,VND
Thuế TNDN hoãn lại năm trước phân bổ vào năm nay,832241000,VND
Tổng chỉ phí thuế TNDN,143470053966,VND
