Chi_tieu,Gia_tri,Don_vi
"Cho vay các tổ chức kinh tế, cá nhân trong nước",1436710181,Trieu VND
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,2831604,Trieu VND
Cho thuê tài chính,7073712,Trieu VND
Các khoản trả thay khách hàng,1770654,Trieu VND
"Cho vay đối với các tổ chức, cá nhân nước ngoài",812748,Trieu VND
Nợ đủ tiêu chuẩn,1431299668,Trieu VND
Nợ cần chú ý,3935217,Trieu VND
Nợ dưới tiêu chuẩn,2153039,Trieu VND
Nợ nghi ngờ,1518558,Trieu VND
Nợ có khả năng mất vốn,10292417,Trieu VND
