Chi_tieu,Gia_tri,Don_vi
1. Lợi nhuận trước thuế,296022977262,VND
Khấu hao TSCĐ và BĐSĐT,3285529047,VND
Các khoản dự phòng,1898442408,VND
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",-282962,VND
"Lãi, lỗ từ hoạt động đầu tư",-332724633458,VND
3. Lợi nhuận từ hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,-31517967703,VND
"Tăng, giảm các khoản phải thu",-58680718201,VND
"Tăng, giảm hàng tồn kho",430411531,VND
"Tăng, giảm các khoản phải trả (không kể lãi vayphải trả, thuế thu nhập doanh nghiệp phải nộp)",-19397554921,VND
"Tăng, giảm chi phí trả trước",15395490000,VND
Tiền thu khác từ hoạt động kinh doanh,999244000,VND
Tiền chi khác từ hoạt động kinh doanh,-3892675100,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-96663770394,VND
"1. Tiền chỉ để mua sắm, xây dựng TSCĐvà các tài sản dài hạn khác",-787933649,VND
"3. Tiền chi cho vay, mua các công cụ nợcủa các đơn vị khác",-1069375000000,VND
"4. Tiền thu hồi cho vay, bán lại các công cụ nợcủa các đơn vị khác",1191830000000,VND
5. Tiền chỉ đầu tư góp vốn vào đơn vị khác,-32455000000,VND
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,11696253480,VND
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",327856481154,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,428764800985,VND
"1. Tiền chi trả vốn góp cho các chủ sở hữu,mua lại cổ phiếu của doanh nghiệp đã phát hành",-90100000,VND
"2. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-376400888000,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,-376490988000,VND
LƯU CHUYÊN THUẦN TRONG NĂM,-44389957409,VND
Tiền và tương đương tiền đầu năm,97140261573,VND
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,282962,VND
TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,52750587126,VND
