Chi_tieu,Gia_tri,Don_vi
Tiền mặt,503043,Trieu dong
Tiền gửi tại NHNN Việt Nam,3167848,Trieu dong
Tiền gửi tại các TCTD khác,36416740,Trieu dong
Chứng khoán kinh doanh - gộp,871942,Trieu dong
Cho vay khách hàng - gộp,98107189,Trieu dong
Hoạt động mua nợ - gộp,965000,Trieu dong
Chứng khoán đầu tư - gộp,18652737,Trieu dong
"Góp vốn, đầu tư dài hạn - gộp",58791,Trieu dong
Tài sản cố định,1084198,Trieu dong
Bất động sản đầu tư,66242,Trieu dong
Tài sản Có khác - gộp,4024189,Trieu dong
Tổng tài sản,163917919,Trieu dong
Tiền gửi và vay các TCTD khác,29041487,Trieu dong
Tiền gửi của khách hàng,100034291,Trieu dong
Các công cụ tài chính phải sinh và nợtài chính khác,265268,Trieu dong
"Vốn tài trợ, uỷ thác đầu tư, cho vayTCTD chịu rủi ro",26613,Trieu dong
Phát hành giấy tờ có giá,15600000,Trieu dong
Các khoản nợ khác,3652297,Trieu dong
Tổng nợ phải trả,148619956,Trieu dong
Mức chênh nhạy cảm với lãi suấtnội bằng,15297963,%
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng",15297963,%
