Chi_tieu,Gia_tri,Don_vi
Ngắn hạn,8176960740485,VND
- Phải trả theo Hợp đồng hợp tác đầu tư Dự án The EverRich 2 và The Everich 3 (i),7934274149934,VND
- Phải trả theo hợp đồng vay (ii),181131704531,VND
+ Công ty Cổ phần Đầu tư Bắc Cường,47030812462,VND
+ Công ty Cổ phần Đầu tư và Quản lý khách sạn AKYN,5620892069,VND
+ Công ty Cổ phần Phát Triển Đô Thị Tam Hiệp,128480000000,VND
- Hợp tác kinh doanh Dự án Nhon Hội (iii),11191500000,VND
- Ký quỹ nhận được từ khách hàng,14200000000,VND
- Các khoản phải trả khác,36163386020,VND
Dài hạn,150530671510,VND
- Phải trả theo hợp đồng vay (ii),150522571510,VND
+ Công ty CP Khu Đô Thị Mới Đồng Nai Riverside,150522571510,VND
- Phải trả khác,8100000,VND
