Chi_tieu,Gia_tri,Don_vi
- Chi phí chờ phân bổ,7731,Trieu dong
- Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,95066,Trieu dong
+ Bất động sản,95066,Trieu dong
- Tài sản khác,1072,Trieu dong
a. Tiền vàng gửi không kỳ hạn,16327,Trieu dong
- Bằng VND,16052,Trieu dong
- Bằng ngoại tệ,275,Trieu dong
b. Tiền vàng gửi có kỳ hạn,2748563,Trieu dong
- Bằng VND,1347000,Trieu dong
- Bằng vàng và ngoại tệ,1401563,Trieu dong
- Bằng VND,5834,Trieu dong
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (I) -CN SGD 3,5834,Trieu dong
- Bằng ngoại tệ,2111,Trieu dong
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (I) -CN SGD 3,2111,Trieu dong
"Tổng cộng tiền, vàng gửi và vay TCTD khác",2772835,Trieu dong
