Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi và các khoản thu nhập tương tự,2294005,Trieu VND
Chi phí lãi và các chi phí tương tự,-1508879,Trieu VND
Thu nhập lãi thuần,785126,Trieu VND
Thu nhập từ hoạt động dịch vụ,10855,Trieu VND
Chi phí hoạt động dịch vụ,-6343,Trieu VND
Lãi thuần từ hoạt động dịch vụ,4512,Trieu VND
Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối,6483,Trieu VND
Lãi thuần từ mua bán chứng khoán đầu tư,66112,Trieu VND
Thu nhập từ hoạt động khác,30018,Trieu VND
Chi phí hoạt động khác,-14958,Trieu VND
Lãi thuần từ hoạt động khác,15060,Trieu VND
"Thu nhập từ góp vốn, mua cổ phần",11063,Trieu VND
Chi phí hoạt động,-655238,Trieu VND
Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,233118,Trieu VND
Chi phí dự phòng rủi ro tín dụng,-92029,Trieu VND
Tổng lợi nhuận trước thuế(mang sang trang sau),141089,Trieu VND
