Chi_tieu,Gia_tri,Don_vi
I. Lợi nhuận trước thuế,558038950597,VND
2. Điều chỉnh cho các khoản - Khấu hao tài sản cố định và bất động sản đầu tư,16313955660,VND
"- Lãi, lỗ từ hoạt động đầu tư",-75078755863,VND
- Chi phí lãi vay,149003091361,VND
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,648277241755,VND
"- Tăng, giảm các khoản phải thu",-655747377449,VND
"- Tăng, giảm hàng tồn kho",-589972849837,VND
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",349061478433,VND
"- Tăng, giảm chi phí trả trước",-20552064559,VND
- Tiền lãi vay đã trả,-106660625608,VND
- Thuế thu nhập doanh nghiệp đã nộp,-51059033502,VND
- Tiền chi khác cho hoạt động kinh doanh,-14686400000,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-441339630767,VND
"1. Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",-14184126696,VND
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",709090909,VND
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-3339202551614,VND
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",1857730944060,VND
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-2660000000,VND
"6. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",37223891820,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-1460382751521,VND
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",959998000000,VND
2. Tiền thu từ đi vay,6066533003376,VND
3. Tiền trả nợ gốc vay,-5232314769040,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,1794216234336,VND
Lưu chuyển tiền thuần trong năm,-107506147952,VND
