Chi_tieu,Gia_tri,Don_vi
Bảo lãnh vay vốn,33980,Trieu dong
Cam kết giao dịch hối đoái,223775857,Trieu dong
2.1 Cam kết mua ngoại tệ,1408572,Trieu dong
2.2 Cam kết bán ngoại tệ,1407285,Trieu dong
2.3 Cam kết giao dịch hoán đổi,220960000,Trieu dong
Cam kết trong nghiệp vụ L/C,9141549,Trieu dong
Bảo lãnh khác,20444318,Trieu dong
Các cam kết khác,16451969,Trieu dong
Lãi cho vay và phí phải thu chưa thu được,779182,Trieu dong
Nợ khó đòi đã xử lý,13624430,Trieu dong
Tài sản và chứng từ khác,114866183,Trieu dong
