Chi_tieu,Gia_tri,Don_vi
Góp vốn,900000000000,
Công ty TNHH Phân mềm FPT,700000000000,
Công ty TNHH Giáo dục FPT,200000000000,
Cung cấp dịch vụ,164992897403,
Công ty TNHH Phân mềm FPT,55698447570,
Công ty Cổ phần Viễn thông FPT,54532559142,
Công ty TNHH Hệ thống Thông tin FPT,37196210655,
Công ty Cổ phần Dịch vụ Trực tuyến FPT,8801993387,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,6688269356,
Công ty Cổ phần Synnex FPT,2075417293,
Mua hàng hóa và dịch vụ,246015202539,
Công ty TNHH Giáo dục FPT,98944914781,
Công ty TNHH Hệ thống Thông tin FPT,97922985461,
Công ty TNHH Phân mềm FPT,24301276687,
Công ty Cổ phần Viễn thông FPT,20549019085,
Công ty Cổ phần Synnex FPT,3132842243,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,1164164282,
Cổ tức/Lợi nhuận kết chuyển về,1115789308000,
Công ty TNHH Phân mềm FPT,794000000000,
Công ty TNHH Giáo dục FPT,208000000000,
Công ty Cổ phần Viễn thông FPT,103242052000,
Công ty Cổ phần Dịch vụ Trực tuyến FPT,10547256000,
Lãi cho vay,5627185929,
Công ty TNHH Đầu tư FPT,3850213127,
Công ty TNHH Hệ thống Thông tin FPT,1776972802,
Lãi đi vay,31379904894,
Công ty TNHH Hệ thống Thông tin FPT,22316537547,
Công ty TNHH Giáo dục FPT,8778416301,
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,147701046,
Công ty Cổ phần Synnex FPT,137250000,
