Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế,1626889342475,VND
Khấu hao tài sản cố định và bắt động sản đầu tư,29522959676,VND
Các khoản dự phòng,6330478107,VND
Lãi từ hoạt động đầu tư,-907563499742,VND
"Chi phí lãi vay, lãi trái phiếu",533011393378,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,1288190673894,VND
Thay đổi các khoản phải thu,-1473310929632,VND
Thay đổi hàng tồn kho,975478373782,VND
"Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",-1823107618436,VND
Thay đổi chi phí trả trước,31666196893,VND
Tiền lãi vay đã trả,-418675391339,VND
Thuế thu nhập doanh nghiệp đã nộp,-102172319883,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-1521931014721,VND
"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-26315621236,VND
"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",13636363636,VND
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",-673350000000,VND
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",1077901000000,VND
Tiền chi đầu tư góp vốn vào đơn vị khác,-390000000000,VND
Tiền thu hồi đầu tư vốn vào đơn vị khác,1567052304946,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",411250216784,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,1980174264130,VND
Tiền thu từ đi vay,7420000000,VND
Tiền trả nợ gốc vay,-513941284561,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,-506521284561,VND
Lưu chuyển tiền thuần trong năm (50=20+30+40),-48278035152,VND
Tiền và tương đương tiền đầu năm,155102298088,VND
Tiền cuối năm (70=50+60),106824262936,VND
