Chi_tieu,Gia_tri,Don_vi
1. Lợi nhuận trước thuế,-861262526806,VND
- Khấu hao TSCĐ và BĐSDĐT,211964618666,VND
- Các khoản dự phòng,304203186932,VND
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",6070642221,VND
"- Lãi, lỗ từ hoạt động đầu tư",225078000487,VND
- Chi phí lãi vay,437866794003,VND
3. LN từ hoạt động KD trước thay đổi vốn lưu động,323920715503,VND
"- Tăng, giảm các khoản phải thu",230319555877,VND
"- Tăng, giảm hàng tồn kho",16174062823,VND
"- Tăng, giảm các khoản phải trả (Không kể trả lãi vay, thuế thu nhập phải nộp)",-7771901241,VND
"- Tăng, giảm chi phí trả trước",-29679467597,VND
- Tiền lãi vay đã trả,-180220614922,VND
- Thuế thu nhập doanh nghiệp đã nộp,-38396048567,VND
- Tiền thu khác từ hoạt động kinh doanh,657600000,VND
- Tiền chi khác từ hoạt động kinh doanh,-11200000,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,314992701876,VND
1. Tiền chi đề mua sắm XD TSCĐ và các TS DH khác,-66364097878,VND
"2. Tiền thu từ TLý, nhượng bán TSCĐ và các TS DH khác",78354767994,VND
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-1462663475048,VND
"4. Tiền thu hồi cho vay, bán lại các CC nợ của đơn vị khác",1333175800741,VND
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-235700000000,VND
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,17000000000,VND
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",121792204258,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-214404799933,VND
1. Tiền thu từ đi vay,218113168799,VND
2. Tiền trả nợ gốc vay,-350292008440,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,-132178839641,VND
Lưu chuyển tiền thuần trong kỳ,-31590937698,VND
Tiền và tương đương tiền đầu kỳ,168009328834,VND
Ảnh hưởng của thay đổi tỷ giá hối đoái qui đổi ngoại tệ,1642654133,VND
Tiền và tương đương tiền cuối kỳ,138061045269,VND
