Chi_tieu,Gia_tri,Don_vi
01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,7438991,Trieu VND
02. Chi phí lãi và các chi phí tương tự đã trả,-5235628,Trieu VND
03. Thu nhập hoạt động dịch vụ nhận được,493738,Trieu VND
"04. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",141646,Trieu VND
05. Thu nhập khác,-2250,Trieu VND
"06. Tiền thu các khoản nợ đã được xử lý xóa, bù đáp bằng nguồn rủi ro",91328,Trieu VND
"07. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",-1507190,Trieu VND
08. Tiền thuế thực nộp trong năm,-134064,Trieu VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thay đổi về tài sản và vốn lưu động,1286571,Trieu VND
10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,4350101,Trieu VND
11. (Tăng)/Giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,38707,Trieu VND
"12. (Tăng)/Giảm các khoản cho vay khách hàng Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đáp tổn thất các",-7080457,Trieu VND
13. khoản,-374546,Trieu VND
14. (Tăng)/Giảm khác về tài sản hoạt động,1046316,Trieu VND
15. Tăng/(Giảm) các khoản nợ Chính phủ và Ngân hàng Nhà nước,-2451824,Trieu VND
"16. Tăng/(Giảm) tiền gửi, tiền vay các TCTD",-5527969,Trieu VND
17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả tiền gửi của Kho bạc Nhà nước),4694282,Trieu VND
18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá được tính vào hoạt động tài chính),3459091,Trieu VND
20. Tăng/(Giảm) các công cụ tài chính phải sinh và các khoản nợ tài chính khác,25404,Trieu VND
21. Tăng/(Giảm) khác về công nợ hoạt động,-60770,Trieu VND
22. Chi từ các quỹ của TCTD,-41093,Trieu VND
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,-636187,Trieu VND
01. Mua sắm tài sản cố định,-64001,Trieu VND
"02. Tiền thu từ thanh lý, nhượng bán tài sản cố định",590,Trieu VND
II. Lưu chuyển từ hoạt động đầu tư,-63411,Trieu VND
IV. Lưu chuyển tiền thuần trong năm,-699598,Trieu VND
V. Tiền và các khoản tương đương tiền tạl thời điểm đầu năm,25868378,Trieu VND
VII. Tiền và các khoản tương đương tiền tạl thời điểm cuối năm,25168780,Trieu VND
