Chi_tieu,Gia_tri,Don_vi
Phải thu các bên khác,457972359309,VND
"- Ashley Furniture Industries, Inc.",64874410500,VND
- Pier 1 imports (us) Inl,56538863457,VND
- GME - Sanitaires Et Materiaux - Lapeyre,53068668227,VND
- Công ty Cổ phần Vinhomes,29418656679,VND
- Công ty TNHH Đầu tư và Phát triển Đô thị Gia Lâm,11777766913,VND
- Khác,242293993533,VND
Phải thu các bên liên quan (TM số 33),34807699848,VND
TỔNG CỘNG,492780059157,VND
Dự phòng các khoản phải thu ngắn hạn khó đòi,-302322968346,VND
GIÁ TRỊ THUÀN,190457090811,VND
