Chi_tieu,Gia_tri,Don_vi
Doanh thu bán hàng và cung cấp dịch vụ,16054517372821,VND
Các khoản giảm trừ doanh thu,548363896514,VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),15506153476307,VND
Giá vốn hàng bán,11561565873872,VND
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),3944587602435,VND
Doanh thu hoạt động tài chính,385862574359,VND
Chi phí tài chính,84680559436,VND
- Trong đó: Chi phí lãi vay,63207694960,VND
Chi phí bán hàng,1091400049187,VND
Chi phí quản lý doanh nghiệp,930350779330,VND
Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),2224018788841,VND
Thu nhập khác,6076196442,VND
Chi phí khác,746399900,VND
Lợi nhuận khác (40=31-32),5329796542,VND
Tổng lợi nhuận kế toán trước thuế (50=30+40),2229348585383,VND
Chi phí thuế thu nhập doanh nghiệp hiện hành,257969957282,VND
(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,-16988739859,VND
Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),1988367367960,VND
