Chi_tieu,Gia_tri,Don_vi
Doanh thu thuần cho bên thứ ba,13270871,Trieu VND
Tổng doanh thu thuần,13270871,Trieu VND
Khấu hao và hao mòn,758405,Trieu VND
Thu nhập/(lỗ) trước thuế theo bộ phận,388341,Trieu VND
Thu nhập thuần không phân bổ (*),5067883,Trieu VND
Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,2294851,Trieu VND
Tài sản theo bộ phận,36310186,Trieu VND
Tài sản không phân bổ (**),110955647,Trieu VND
TỔNG TÀI SẢN,147265833,Trieu VND
Tổng nợ phải trả theo bộ phận,38851107,Trieu VND
Tổng nợ phải trả không phân bổ (***),31172220,Trieu VND
TỔNG NỘ PHẢI TRẢ,70023327,Trieu VND
