Chi_tieu,Gia_tri,Don_vi
"1. Chi nộp thuế và các khoản phí, lệ phí",13219,Trieu VND
2. Chi phí cho nhân viên:,2215729,Trieu VND
▪ Chi lương và phụ cấp (i),622957,Trieu VND
▪ Các khoản chi đóng góp theo lương,141662,Trieu VND
▪ Chi trợ cấp,2505,Trieu VND
▪ Chi phí khác (i),1448605,Trieu VND
3. Chi về tài sản,938912,Trieu VND
▪ Chi phí khấu hao tài sản cố định,239005,Trieu VND
▪ Chi phí khác,699907,Trieu VND
4. Chi cho hoạt động quản lý công vụ,1047730,Trieu VND
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",213390,Trieu VND
6. Chi phí dự phòng (ii),98469,Trieu VND
