Chi_tieu,Gia_tri,Don_vi
Số dư đầu năm,35199059,Trieu VND
Tăng trong năm,4505,Trieu VND
Chuyển từ chi phí xây dựng cơ bản dở dang,4601,Trieu VND
Chuyển từ hàng tồn kho,3798,Trieu VND
"Thanh lý, xóa sổ",-6888,Trieu VND
Giảm khác,-22640,Trieu VND
Số dư cuối năm,35182435,Trieu VND
Số dư đầu năm,8684663,Trieu VND
Khấu hao trong năm,1341133,Trieu VND
"Thanh lý, xóa sổ",-4937,Trieu VND
Giảm khác,-18272,Trieu VND
Số dư cuối năm,10002587,Trieu VND
Số dư đầu năm,26514396,Trieu VND
Số dư cuối năm,25179848,Trieu VND
