Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,802468091939,VND
2. Các khoản giảm trừ doanh thu,44403994502,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,758064097437,VND
4. Giá vốn hàng bán,390416222098,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,367647875339,VND
6. Doanh thu hoạt động tài chính,14660241137,VND
7. Chi phí tài chính,118813137427,VND
Trong đó: chi phí lãi vay,73422955361,VND
8. Chi phí bán hàng,29723345932,VND
9. Chi phí quản lý doanh nghiệp,36757177851,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh,197014455266,VND
11. Thu nhập khác,6505747379,VND
12. Chi phí khác,688131971,VND
13. Lợi nhuận khác,5817615408,VND
14. Tổng lợi nhuận kế toán trước thuế,202832070674,VND
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,31016484233,VND
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,171815586441,VND
