Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần May Tiến Phát,18622758137,VND
Bán hàng hóa và dịch vụ,10233197451,VND
Công ty Cổ phần Toàn Hải Vân,1205544303,VND
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,625205481,VND
Công ty Cổ phần Sản xuất Xây dựng Dịch vụ Hoa Đồng,186471137,VND
Bán hàng hóa và dịch vụ,178356822,VND
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,126510549,VND
Công ty TNHH MTV Đầu tư Phát triển Bất động sản Hùng Anh Năm,123835249,VND
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,89958328,VND
Bán hàng hóa và dịch vụ,12000000,VND
