Chi_tieu,Gia_tri,Don_vi
NỘ PHẢI TRẢ (300 = 310 + 330),6070388136375,VND
Nợ ngắn hạn,5457126488057,VND
Phải trả người bán ngắn hạn,527675883756,VND
Người mua trả tiền trước ngắn hạn,2802737146204,VND
Thuế và các khoản phải nộp Nhà nước,29579036384,VND
Phải trả người lao động,4976863385,VND
Chi phí phải trả ngắn hạn,501210031072,VND
Doanh thu chưa thực hiện ngắn hạn,80693174964,VND
Phải trả ngắn hạn khác,119588733927,VND
"Vay, trái phiếu phát hành và nợ thuê tài chính ngắn hạn",1386056867185,VND
"Quỹ khen thưởng, phúc lợi",4608751180,VND
Nợ dài hạn,613261648318,VND
Doanh thu chưa thực hiện dài hạn,51367680000,VND
Phải trả dài hạn khác,26853966396,VND
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",535040001922,VND
VỐN CHỦ SỞ HỮU (400 = 410),3483673322350,VND
Vốn chủ sở hữu,3483673322350,VND
Vốn cổ phần,2438724240000,VND
Thặng dư vốn cổ phần,333441184101,VND
Cổ phiếu quỹ,-11890000,VND
Quỹ đầu tư và phát triển,110076634441,VND
Quỹ khác thuộc vốn chủ sở hữu,24890292522,VND
Lợi nhuận sau thuế chưa phân phối,380411551264,VND
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,151719396919,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,228692154345,VND
Lợi ích cổ đông không kiểm soát,196141310022,VND
TỔNG NGUỒN VỐN (440 = 300 + 400),9554061458725,VND
