Chi_tieu,Gia_tri,Don_vi
Thuế giá trị gia tăng đầu ra (*),-254034808853,VND
Thuế giá trị gia tăng hàng nhập khẩu,15044627326,VND
Thuế tiêu thụ đặc biệt,713173742873,VND
Thuế xuất nhập khẩu,475093999378,VND
Thuế thu nhập doanh nghiệp (**),-281928173171,VND
Thuế thu nhập cá nhân,-19304601096,VND
Thuế nhà đất,12683310085,VND
Thuế bảo vệ môi trường,-2277831665435,VND
Các loại thuế khác,-10008963713,VND
Thuế và các khoản phải thu Nhà nước,1298617777022,VND
Thuế và các khoản phải nộp Nhà nước,-2925730309628,VND
