Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,189090599,Trieu VND
2. Các khoản giảm trừ doanh thu,-22559,Trieu VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,189068040,Trieu VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-161767222,Trieu VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,27300818,Trieu VND
6. Doanh thu hoạt động tài chính,47925492,Trieu VND
7. Chi phí tài chính Trong đó: Chi phí lãi vay và chi phí phát hành,-31208095,Trieu VND
7. Chi phí tài chính Trong đó: Chi phí lãi vay và chi phí phát hành,-22980044,Trieu VND
"8. Phần lãi/(lỗ) trong công ty liên doanh, liên kết",848773,Trieu VND
9. Chi phí bán hàng,-18053919,Trieu VND
10. Chi phí quản lý doanh nghiệp,-15148307,Trieu VND
11. Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh,11664762,Trieu VND
12. Thu nhập khác,10068646,Trieu VND
13. Chi phí khác,-4994702,Trieu VND
14. Lợi nhuận khác,5073944,Trieu VND
15. Tổng lợi nhuận kế toán trước thuế,16738706,Trieu VND
16. Chi phí thuế TNDN hiện hành,-12913575,Trieu VND
17. Thu nhập/(chi phí) thuế TNDN hoãn lại,1450927,Trieu VND
18. Lợi nhuận sau thuế TNDN,5276058,Trieu VND
19. Lợi nhuận sau thuế của công ty mẹ,11903028,Trieu VND
20. Lỗ sau thuế của cổ đông không kiểm soát,-6626970,Trieu VND
