Chi_tieu,Gia_tri,Don_vi
A - TÀI SẢN NGĂN HẠN,27859090416242,
Tiền và các khoản tương đương tiền,4843287293754,
Các khoản tương đương tiền,2078526206148,
Đầu tư tài chính ngắn hạn,1724948605821,
Chứng khoán kinh doanh,51002052543,
Dự phòng giảm giá chứng khoán kinh doanh,-8910000000,
Đầu tư nắm giữ đến ngày đáo hạn,1682856553278,
Các khoản phải thu ngắn hạn,14752255721049,
Phải thu ngắn hạn của khách hàng,4016280804006,
Trả trước cho người bán ngắn hạn,2359269827404,
Phải thu về cho vay ngắn hạn,1363851134593,
Phải thu ngắn hạn khác,7398921841371,
Dự phòng phải thu ngắn hạn khó đòi,-386167436373,
Tài sản thiếu chờ xử lý,99550048,
Hàng tồn kho,5935906215498,
Hàng tồn kho,5969632091127,
Dự phòng giảm giá hàng tồn kho,-33725875629,
Tài sản ngắn hạn khác,602692580120,
Chi phí trả trước ngắn hạn,154925196206,
Thuế giá trị gia tăng được khấu trừ,416404594794,
Thuế và các khoản khác phải thu Nhà nước,31362789120,
TÀI SẢN DÀI HẠN,24372149784111,
Các khoản phải thu dài hạn,1390449303582,
Phải thu dài hạn của khách hàng,6250000000,
Trả trước cho người bán dài hạn,6260030040,
Phải thu về cho vay dài hạn,199138000000,
Phải thu dài hạn khác,1183786305368,
Dự phòng phải thu dài hạn khó đòi,-4985031826,
Tài sản cố định,13091378197609,
Tài sản cố định hữu hình,11856936682297,
Nguyên giá,20726282076714,
Giá trị hao mòn lũy kế,-8869345394417,
Tài sản cố định thuê tài chính,332598684495,
Nguyên giá,393176051869,
Giá trị hao mòn lũy kế,-60577367374,
Tài sản cố định vô hình,901842830817,
Nguyên giá,1114867580412,
Giá trị hao mòn lũy kế,-213024749595,
Bất động sản đầu tư,1350088176993,
Nguyên giá,1842479365027,
Giá trị hao mòn lũy kế,-492391188034,
Tài sản dở dang dài hạn,2891900079299,
"Chi phí sản xuất, kinh doanh dở dang dài hạn",437533717685,
Chi phí xây dựng cơ bản dở dang,2454366361614,
Đầu tư tài chính dài hạn,1217476398694,
"Đầu tư vào công ty liên doanh, liên kết",550747058376,
Đầu tư góp vốn vào đơn vị khác,662300335184,
Dự phòng đầu tư tài chính dài hạn,-11670994866,
Đầu tư nắm giữ đến ngày đáo hạn,16100000000,
Tài sản dài hạn khác,4430857627934,
Chi phí trả trước dài hạn,1953322797892,
Tài sản thuế thu nhập hoãn lại,85575724894,
"Thiết bị, vật tư, phụ tùng thay thế dài hạn",6015972540,
Lợi thế thương mại,2385943132608,
TỔNG CỘNG TÀI SẢN,52231240200353,
C - NỘ PHẢI TRẢ,34288926372179,
Nợ ngắn hạn,17615008031432,
Phải trả người bán ngắn hạn,2471184504630,
Người mua trả tiền trước ngắn hạn,381577171205,
Thuế và các khoản phải nộp Nhà nước,729426109430,
Phải trả người lao động,480809682190,
Chi phí phải trả ngắn hạn,422565946758,
Doanh thu chưa thực hiện ngắn hạn,882003683090,
Phải trả ngắn hạn khác,2289584724661,
Vay và nợ thuê tài chính ngắn hạn,9694408302696,
Dự phòng phải trả ngắn hạn,218052628902,
"Quỹ khen thưởng, phúc lợi",45395277870,
Nợ dài hạn,16673918340747,
Phải trả người bán dài hạn,437721966,
Người mua trả tiền trước dài hạn,37275349942,
Chi phí phải trả dài hạn,105212955394,
Doanh thu chưa thực hiện dài hạn,41665156596,
Phải trả dài hạn khác,3630085860640,
Vay và nợ thuê tài chính dài hạn,12227303009612,
Thuế thu nhập hoãn lại phải trả,604624333633,
Dự phòng phải trả dài hạn,27313952964,
D - VỐN CHỦ SỞ HỮU,17942313828174,
Vốn chủ sở hữu,17942313828174,
Vốn góp của chủ sở hữu,10682855810000,
Cổ phiếu phố thông có quyền biểu quyết,10682855810000,
Thặng dư vốn cổ phần,-790748531426,
Vốn khác của chủ sở hữu,167254910558,
Quỹ đầu tư phát triển,125326835329,
Quỹ khác thuộc vốn chủ sở hữu,356774430,
Lợi nhuận sau thuế chưa phân phối,584229973290,
LNST chưa phân phối lũy kế đến cuối kỳ trước,155120361953,
LNST chưa phân phối kỳ này,429109611337,
Lợi ích cổ đông không kiểm soát,7173038055993,
TỔNG CỘNG NGUỒN VỐN,52231240200353,
