Chi_tieu,Gia_tri,Don_vi
1. Doanh thu thuần hoạt động kinh doanh chứng khoản,6527771853991,VND
2. Các chi phí trực tiếp,4121679041887,VND
3. Khấu hao và các chi phí phân bổ,296389420327,VND
Lợi nhuận từ hoạt động kinh doanh trước thuế,2109703391777,VND
1. Tài sản bộ phận,50890939413493,VND
2. Tài sản phân bổ,494374246909,VND
3. Tài sản không phân bổ,841069226079,VND
Tổng tài sản,52226382886481,VND
4. Nợ phải trả bộ phận,29254517359340,VND
5. Nợ phân bổ,436258184105,VND
6. Nợ không phân bổ,151725378376,VND
Tổng công nợ,29842500921821,VND
