Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,5906775,Trieu dong
Tiền gửi tại NHNN Việt Nam,1965587,Trieu dong
Tiền gửi tại và cho vay các TCTD khác,8170876,Trieu dong
Chứng khoán kinh doanh,63250,Trieu dong
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,20251,Trieu dong
Cho vay khách hàng,214164522,Trieu dong
Hoạt động mua nợ,643784,Trieu dong
Chứng khoán sẵn sàng để bán,29885640,Trieu dong
Chứng khoán giữ đến ngày đáo hạn,43302379,Trieu dong
Đầu tư dài hạn khác,155728,Trieu dong
Tài sản tài chính khác,39156387,Trieu dong
Các khoản nợ NHNN Việt Nam,231484,Trieu dong
Tiền gửi và vay các TCTD khác,11856331,Trieu dong
Tiền gửi của khách hàng,316905245,Trieu dong
"Vốn tài trợ, ủy thác đầu tưcho vay chịu rủi ro",1415,Trieu dong
Phát hành giấy tờ có giá,5601386,Trieu dong
Các khoản nợ tài chính khác,5892428,Trieu dong
