Chi_tieu,Gia_tri,Don_vi
b1) Ngắn hạn- Tiền gửi có kỳ hạn,249039724107,
b1) Ngắn hạn- Tiền gửi có kỳ hạn,249039724107,
b2) Dài hạn- Tiền gửi có kỳ hạn,5110000000,
b2) Dài hạn- Tiền gửi có kỳ hạn,5110000000,
"Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia",871459601752,
"Đầu tư vào công ty liên doanh, liên kết+ Công ty CP Đầu tư và phát triển Đa Quốc Gia",871459601752,
d) Đầu tư vào đơn vị khác+ Công ty CP Tư vấn và Đầu tư Tài chính (*)+ Công ty CP Đầu tư Du lịch và Phát triểnThủy sản+ Công ty CP Nhụt Hồng (*)+ Công ty CP Bóng Đá Đồng Tháp (*),25660000000,
d) Đầu tư vào đơn vị khác+ Công ty CP Tư vấn và Đầu tư Tài chính (*)+ Công ty CP Đầu tư Du lịch và Phát triểnThủy sản+ Công ty CP Nhụt Hồng (*)+ Công ty CP Bóng Đá Đồng Tháp (*),8660000000,
d) Đầu tư vào đơn vị khác+ Công ty CP Tư vấn và Đầu tư Tài chính (*)+ Công ty CP Đầu tư Du lịch và Phát triểnThủy sản+ Công ty CP Nhụt Hồng (*)+ Công ty CP Bóng Đá Đồng Tháp (*),15000000000,
d) Đầu tư vào đơn vị khác+ Công ty CP Tư vấn và Đầu tư Tài chính (*)+ Công ty CP Đầu tư Du lịch và Phát triểnThủy sản+ Công ty CP Nhụt Hồng (*)+ Công ty CP Bóng Đá Đồng Tháp (*),2000000000,
