Chi_tieu,Gia_tri,Don_vi
Phải trả ngắn hạn khác,704643003096,VND
Nhận đặt cọc chuyển nhượng vốn góp,230396515470,VND
Thu hồi vốn nhân rối từ công ty con,156474671181,VND
Lợi nhuận được chia tử hợp tác kinh doanh,136388584457,VND
"Lệ phí trước bạ, quỹ bảo trì chung cư (i)",76167099268,VND
"Chi phí đến bù, giải tỏa phải trả",29726027982,VND
Cổ tức phải trả,1050020627,VND
Nhận đặt cọc từ khách hàng,15541588589,VND
"Nhận ký quỹ, ký cược ngắn hạn",10284527500,VND
Phải trả khác,48613968022,VND
Phải trả dài hạn khác,19600000000,VND
Nhận hợp tác đầu tư các dự án bất động sản (ii),19600000000,VND
