Chi_tieu,Gia_tri,Don_vi
1. Lợi nhuận trước thuế TNDN,930644050935,VND
2. Điều chỉnh cho các khoản:,467806712026,VND
- Khấu hao tài sản cố định,60909312223,VND
- Các khoản dự phòng,43908765761,VND
- Lãi chênh lệch tỷ giá hối đoái chưa thực hiện,-91861,VND
"- Chi phí lãi vay, lãi trái phiếu phát hành",541247874447,VND
- Lãi từ hoạt động đầu tư,-6525541776,VND
- Dự thu tiền lãi,-171733606768,VND
3. Tăng/(giảm) các chi phí phí tiền tệ,210630560,VND
- Chênh lệch tăng/(giảm) đánh giá lại giá trị tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),210630560,VND
4. Giảm các doanh thu phí tiền tệ,-9848604096,VND
- Chênh lệch tăng đánh giá lai giá trị các tài sản tài chính ghi nhận thông qua lãi/(lỗ) (FVTPL),-9848604096,VND
5. Thay đổi vốn lưu động,-5466242609056,VND
- (Tăng)/giảm tài sản tài chính FVTPL,-841039767696,VND
- Tăng các khoản đầu tư giữ đến ngày đáo hạn,-2344568960902,VND
- Tăng các khoản cho vay,-1075246035008,VND
- (Tăng)/giảm tài sản tài chính sẵn sàng để bán,-1444811830138,VND
- Giảm phải thu bán các tài sản tài chính,680980900000,VND
"- Giảm các khoản phải thu và dự thu cố tức, tiền lãi các tài sản tài chính",178182935103,VND
- Giảm các khoản phải thu về các dịch vụ công ty chứng khoản cung cấp,332439783,VND
- (Tăng)/giảm các khoản phải thu khác,-2149821068,VND
- Giảm/(tăng) các tài sản khác,2263653828,VND
- Tăng chi phí phải trả (không bao gồm chi phí lãi vay),33650356687,VND
- Tăng chi phí trả trước,16709782051,VND
- Thuế TNDN đã nộp,-151903676615,VND
- Lãi vay đã trả,-494937451882,VND
- Giảm phải trả cho người bán,-4756830945,VND
- (Giảm)/tăng các khoản trích lập phúc lợi nhân viên,-103355800,VND
- Tăng/(giảm) thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),6984473980,VND
- (Giảm)/tăng phải trả người lao động,-3201721034,VND
"- Giảm phải trả, phải nộp khác",-22627699400,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-4077429819631,VND
"1. Tiền chi mua sắm, xây dựng tài sản cố định",-9801226425,VND
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ, BĐSDT và các tài sản khác",386818182,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-9414408243,VND
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1686988200000,VND
3. Tiền vay gốc,38636046556035,VND
3.2. Tiền vay khác,38636046556035,VND
4. Tiền chi trả nợ gốc vay,-34509687440008,VND
4.3. Tiền chi trả gốc vay khác,-34509687440008,VND
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-524208536493,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,5289138779534,VND
IV. Lưu chuyển tiền thuần trong năm (90 = 60 + 70 + 80),1202294551660,VND
V. Tiền và các khoản tương đương tiền đầu năm,571249283464,VND
Các khoản tương đương tiền,130000000000,VND
VI. Tiền và các khoản tương đương tiền cuối năm (103 = 90 + 101),1773543835124,VND
Các khoản tương đương tiền,24000000000,VND
