Chi_tieu,Gia_tri,Don_vi
Góp vốn,82620000000,VND
Cổ tức được chia,25904000000,VND
Doanh thu bán hàng và cung cấp dịch vụ,3793397273,VND
Cho vay,2900000000,VND
Thu hồi khoản cho vay,2900000000,VND
Chi phí chi hộ,71099745,VND
Lãi cho vay,4767123,VND
Góp vốn,162690000000,VND
"Mua hàng hóa, dịch vụ",146688759770,VND
Cho vay,50500000000,VND
Lãi cho vay,1178049314,VND
Doanh thu bán hàng và cung cấp dịch vụ,5454545,VND
Góp vốn,301864250000,VND
Cho vay,163000000000,VND
Thu hồi cho vay,107000000000,VND
Doanh thu bán hàng và cung cấp dịch vụ,81949463010,VND
Lãi cho vay,3773945205,VND
Chi phí chỉ hộ,66690545,VND
"Mua hàng hóa, dịch vụ",102189400,VND
Chi phí chi hộ,4545455,VND
"Mua hàng hóa, dịch vụ",50318182,VND
Nhận chuyển nhượng cổ phiếu,214056000000,VND
"Mua hàng hóa, dịch vụ",12213163062,VND
Lãi phạt chậm thanh toán,1485054575,VND
Doanh thu bán hàng và cung cấp dịch vụ,36340910,VND
Doanh thu bán điện,148472924583,VND
Doanh thu bán hàng và cung cấp dịch vụ,29071159431,VND
"Mua hàng hóa, dịch vụ",1147434800,VND
Mua hàng hóa và dịch vụ,3706585000,VND
Lãi cho vay,185123286,VND
Cho vay,2900000000,VND
Người mua trả trước,1000000000,VND
Trả trước người bán,8500000000,VND
Mua hàng hóa,72831814880,VND
