Chi_tieu,Gia_tri,Don_vi
Bảo lãnh vay vốn,808743,Trieu dong
Cam kết giao dịch hồi đoái,196023792,Trieu dong
Cam kết trong nghiệp vụ L/C,46647030,Trieu dong
Bảo lãnh khác,25173809,Trieu dong
- Bảo lãnh thanh toán,22151709,Trieu dong
- Bảo lãnh thực hiện hợp đồng,640765,Trieu dong
- Bảo lãnh dự thầu,64973,Trieu dong
- Bảo lãnh khác,2316362,Trieu dong
Các cam kết khác,10891982,Trieu dong
- Cam kết hợp đồng mua bán giấy tờ có giá,5800000,Trieu dong
- Cam kết hợp đồng hoán đổi lãi suất,1994840,%
- Cam kết hợp đồng phải sinh giá cả hàng hóa,423518,Trieu dong
- Cam kết hạn mức thể tin dụng chưa sử dụng,2673624,Trieu dong
Trừ: Tiền ký quỹ,-419089,Trieu dong
