Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,1864841561755,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,1864841561755,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-565517444833,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1299324116922,VND
6. Doanh thu hoạt động tài chính,110344430639,VND
7. Chi phí tài chính,-465496934003,VND
Trong đó: Chi phí lãi vay,-458874243707,VND
"8. Phần lãi trong công ty liên doanh, liên kết",31747508838,VND
9. Chi phí bán hàng,-141050404283,VND
10. Chi phí quản lý doanh nghiệp,-219362774767,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh,615505943346,VND
12. Thu nhập khác,12927163763,VND
13. Chi phí khác,-9959071934,VND
14. Lợi nhuận khác,2968091829,VND
15. Tổng lợi nhuận kế toán trước thuế,618474035175,VND
16. Chi phí thuế TNDN hiện hành,-215890322643,VND
17. Thu nhập thuế TNDN hoãn lại,48166293940,VND
18. Lợi nhuận sau thuế TNDN,450750006472,VND
19. Lợi nhuận sau thuế của công ty mẹ,496225033917,VND
20. Lỗ sau thuế của cổ đông không kiểm soát,-45475027445,VND
21. Lãi cơ bản trên cổ phiếu,2051,VND/co phieu
22. Lãi suy giảm trên cổ phiếu,2051,VND/co phieu
