Chi_tieu,Gia_tri,Don_vi
Phải thu các bên khác,1343715084701,VND
Tạm ứng cho nhân viên,426401758558,VND
Các khoản đặt cọc để mua dự án và căn hộ (*),384480689793,VND
Phải thu từ thầu phụ,280374985520,VND
Lãi phải thu từ bên khác,150502411167,VND
Phải thu từ thanh lý khoản đầu tư,47446000000,VND
"Các khoản ký quỹ, ký cược khác",30210120105,VND
Lãi tiền gửi ngân hàng,4835569075,VND
Phải thu bên liên quan (Thuyết minh số 33),41097421984,VND
Dự phòng nợ phải thu ngắn hạn khó đòi,-9662783937,VND
GIÁ TRỊ THUÀN,1375149722748,VND
Các khoản ký quỹ,61206307310,VND
TỔNG CỘNG,1437764495669,VND
