Chi_tieu,Gia_tri,Don_vi
Số dư tại ngày 01 tháng 01 năm 2014,522334,VND
Thuê tài chính trong năm,314496,VND
Tăng khác,6639,VND
Giảm khác,-784,VND
Mua lại TSCĐ thuê tài chính,-53078,VND
Số dư tại ngày 31 tháng 12 năm 2014,789607,VND
Số dư tại ngày 01 tháng 01 năm 2014,281625,VND
Khẩu hao trong năm,67345,VND
Tăng khác,4299,VND
Giảm khác,-729,VND
Mua lại TSCĐ thuê tài chính,-42435,VND
Số dư tại ngày 31 tháng 12 năm 2014,310105,VND
Tại ngày 01 tháng 01 năm 2014,240709,VND
Tại ngày 31 tháng 12 năm 2014,479502,VND
