Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGĂN HẠN,13302772118773,VND
Tiền và các khoản tương đương tiền,347025554208,VND
Các khoản tương đương tiền,9665848112,VND
Đầu tư tài chính ngắn hạn,9773915032,VND
Đầu tư nắm giữ đến ngày đáo hạn,9773915032,VND
Các khoản phải thu ngắn hạn,10553374063835,VND
Phải thu ngắn hạn của khách hàng,6894237204710,VND
Trả trước cho người bán ngắn hạn,1151861356214,VND
Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,2367906107364,VND
Phải thu về cho vay ngắn hạn,168549659925,VND
Phải thu ngắn hạn khác,1679664736963,VND
Dự phòng phải thu ngắn hạn khó đòi,-1708845001341,VND
Hàng tồn kho,2281897212501,VND
Hàng tồn kho,2321206241154,VND
Dự phòng giảm giá hàng tồn kho,-39309028653,VND
Tài sản ngắn hạn khác,110701373197,VND
Chi phí trả trước ngắn hạn,29841903470,VND
Thuế GTGT được khấu trừ,76058432725,VND
Thuế và các khoản phải thu Nhà nước,4801037002,VND
TÀI SẢN DÀI HẠN,2798924747695,VND
Các khoản phải thu dài hạn,122165748334,VND
Phải thu dài hạn khác,122165748334,VND
Tài sản cố định,1177592742067,VND
Tài sản cố định hữu hình,1128823533231,VND
Nguyên giá,2223116769792,VND
Giá trị hao mòn lũy kế,-1094293236561,VND
Tài sản cố định thuê tài chính,3582450000,VND
Nguyên giá,7542000000,VND
Giá trị hao mòn lũy kế,-3959550000,VND
Tài sản cố định vô hình,45186758836,VND
Nguyên giá,77651798926,VND
Giá trị hao mòn lũy kế,-32465040090,VND
Bất động sản đầu tư,164125995155,VND
Nguyên giá,168683809332,VND
Giá trị hao mòn lũy kế,-4557814177,VND
Tài sản dở dang dài hạn,748773725599,VND
"Chi phí sản xuất, kinh doanh dở dang dài hạn",702619796886,VND
Chi phí xây dựng cơ bản dở dang,46153928713,VND
Các khoản đầu tư tài chính dài hạn,296576037090,VND
"Đầu tư vào công ty liên doanh, liên kết",273171037090,VND
Đầu tư góp vốn vào đơn vị khác,36242400000,VND
Dự phòng đầu tư tài chính dài hạn,-14837400000,VND
Đầu tư nấm giữ đến ngày đáo hạn,2000000000,VND
Tài sản dài hạn khác,289690499450,VND
Chi phí trả trước dài hạn,235477867939,VND
Tài sản thuế thu nhập hoãn lại,48147827924,VND
Lợi thế thương mại,6064803587,VND
TỔNG CỘNG TÀI SẢN,16101696866468,VND
NỘ PHẢI TRẢ,14144116820552,VND
Nợ ngắn hạn,13376334591109,VND
Phải trả người bán ngắn hạn,4184839901740,VND
Người mua trả tiền trước ngắn hạn,2962647679503,VND
Thuế và các khoản phải nộp Nhà nước,138263034873,VND
Phải trả người lao động,389059084033,VND
Chi phí phải trả ngắn hạn,1147494617546,VND
Doanh thu chưa thực hiện ngắn hạn,6922126673,VND
Phải trả ngắn hạn khác,521065826565,VND
Vay và nợ thuê tài chính ngắn hạn,3939868078500,VND
Dự phòng phải trả ngắn hạn,84032151912,VND
Quỹ khen thưởng và phúc lợi,2142089764,VND
Nợ dài hạn,767782229443,VND
Phải trả dài hạn khác,31999739885,VND
Vay và nợ thuê tài chính dài hạn,48231301696,VND
Thuế thu nhập hoãn lại phải trả,554880777195,VND
Dự phòng phải trả dài hạn,132670410667,VND
VỐN CHỦ SỞ HỮU,1957580045916,VND
Vốn chủ sở hữu,1957580045916,VND
Vốn đầu tư của chủ sở hữu,3472132700000,VND
Cổ phiếu phổ thông có quyền biểu quyết,3472132700000,VND
Thặng dư vốn cổ phần,458569112981,VND
Chênh lệch tỷ giá hối đoái,56445099,VND
Quỹ đầu tư phát triển,96709591725,VND
Lợi nhuận sau thuế chưa phân phối,-2084878463942,VND
LNST chưa phân phối năm trước,-2335435700339,VND
LNST chưa phân phối năm nay,250557236397,VND
Lợi ích cổ đông không kiểm soát,14990660053,VND
TỔNG CỘNG NGUỒN VỐN,16101696866468,VND
