Chi_tieu,Gia_tri,Don_vi
Các khoản nợ Ngân hàng Nhà nước Việt Nam,255545,Trieu VND
Tiền gửi và vay các tổ chức tín dụng khác,7992502,Trieu VND
Tiền gửi của các tổ chức tín dụng khác,7829594,Trieu VND
Vay các tổ chức tín dụng khác,162908,Trieu VND
Tiền gửi của khách hàng,29523464,Trieu VND
Phát hành giấy tờ có giá,300000,Trieu VND
Các khoản nợ khác,776452,Trieu VND
"Các khoản lãi, phí phải trả",550489,Trieu VND
Các khoản phải trả và công nợ khác,225963,Trieu VND
TỔNG NỘ PHẢI TRẢ,38847963,Trieu VND
Vốn chủ sở hữu,3687160,Trieu VND
Vốn điều lệ,3236958,Trieu VND
Cổ phiếu quỹ,-34200,Trieu VND
Các quỹ,220048,Trieu VND
Lợi nhuận sau thuế chưa phân phối,264354,Trieu VND
TỔNG VỐN CHỦ SỞ HỮU,3687160,Trieu VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,42535123,Trieu VND
