Chi_tieu,Gia_tri,Don_vi
Phải trả các bên liên quan,49687363304,%
Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,49687363304,%
- Phải trả tiền thu hộ căn hộ Sunrise,43141831316,%
- Phải trả tiền thu hộ thuê văn phòng Becamex Tower,2646826798,%
- Phải trả tiền thu hộ căn hộ New Horizon,1948734160,%
- Phải trả tiền thu hộ Ban Quản lý Chung cư Sunrise,1949971030,%
Phải trả các các tổ chức và cả nhân khác,58014762408,%
"Kinh phí công đoàn, Bảo hiểm xã hội",1332015867,%
"Nhận ký quỹ, ký cược ngắn hạn",30534652818,%
Cổ tức phải trả,905461745,%
Tiền bảo dưỡng chung cư IJC Aroma,8457563291,%
