Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGĂN HẠN,3135385580757,VND
I. Tiền và các khoản tương đương tiền,220107949123,VND
1. Tiền,96121254089,VND
2. Các khoản tương đương tiền,123986695034,VND
II. Đầu tư tài chính ngắn hạn,837264666667,VND
1. Chứng khoán kinh doanh,264000000000,VND
2. Đầu tư nằm giữ đến ngày đáo hạn,573264666667,VND
III. Các khoản phải thu ngắn hạn,1523713012610,VND
1. Phải thu ngắn hạn của khách hàng,421320582095,VND
2. Trà trước cho người bán ngắn hạn,196979291054,VND
3. Phải thu về cho vay ngắn hạn,701001957372,VND
4. Phải thu ngắn hạn khác,217129586506,VND
5. Dự phòng phải thu ngắn hạn khó đòi,-12727607230,VND
6. Tài sản thiếu chờ xử lý,9202813,VND
IV. Hàng tồn kho,535383509352,VND
1. Hàng tồn kho,555758377420,VND
2. Dự phòng giảm giá hàng tồn kho,-20374868068,VND
V. Tài sản ngắn hạn khác,18916443005,VND
1. Chi phí trả trước ngắn hạn,1201639542,VND
2. Thuế GTGT được khấu trừ,17209941556,VND
3. Thuế và các khoản khác phải thu Nhà nước,504861907,VND
B. TÀI SẢN DÀI HẠN,3680221906917,VND
I. Các khoản phải thu dài hạn,182708702723,VND
1. Phải thu về cho vay dài hạn,157343713318,VND
2. Phải thu dài hạn khác,25364989405,VND
II. Tài sản cố định,2536676671940,VND
1. Tài sản cố định hữu hình,2472217311059,VND
- Nguyên giá,2837238847437,VND
- Giá trị hao mòn lũy kế,-365021536378,VND
2. Tài sản cố định vô hình,64459360881,VND
- Nguyên giá,166169051175,VND
- Giá trị hao mòn lũy kế,-101709690294,VND
III. Bất động sản đầu tư,108928078646,VND
- Nguyên giá,121311884456,VND
- Giá trị hao mòn lũy kế,-12383805810,VND
IV. Tài sản dở dang dài hạn,460347766841,VND
2. Chi phí xây dựng cơ bản dở dang,460347766841,VND
V. Đầu tư tài chính dài hạn,41337243414,VND
"1. Đầu tư vào công ty liên doanh, liên kết",26450981778,VND
2. Đầu tư góp vốn vào đơn vị khác,15751500000,VND
3. Dự phòng đầu tư tài chính dài hạn,-2265238364,VND
4. Đầu tư nằm giữ đến ngày đáo hạn,1400000000,VND
VI. Tài sản dài hạn khác,350223443353,VND
1. Chi phí trả trước dài hạn,41474594822,VND
2. Tài sản thuế thu nhập hoãn lại,18164978676,VND
3. Lợi thế thương mại,290583869855,VND
TỔNG CỘNG TÀI SẢN,6815607487674,VND
Nợ phải trả,4659167400422,VND
Nợ ngắn hạn,1201278547823,VND
Phải trả người bán ngắn hạn,609145972928,VND
Người mua trả tiền trước ngắn hạn,40826783914,VND
Thuế và các khoản khác phải nộp Nhà nước,51611529683,VND
Phải trả người lao động,24575230736,VND
Chi phí phải trả ngắn hạn,44274125874,VND
Doanh thu chưa thực hiện ngắn hạn,496919698,VND
Phải trả ngắn hạn khác,113132159636,VND
Vay và nợ thuê tài chính ngắn hạn,317745315095,VND
"Quỹ khen thưởng, phúc lợi",-529489741,VND
Nợ dài hạn,3457888852599,VND
Phải trả dài hạn khác,74595230845,VND
Vay và nợ thuê tài chính dài hạn,2915632941375,VND
Trái phiếu chuyển đổi,438110772258,VND
Thuế thu nhập hoãn lại phải trả,2629387586,VND
Dự phòng phải trả dài hạn,26920520535,VND
VỐN CHỦ SỞ HỮU,2156440087252,VND
Vốn chủ sở hữu,2156440087252,VND
Vốn góp của chủ sở hữu,1691861170000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,1691861170000,VND
Thặng dư vốn cổ phần,49928104500,VND
Quyền chọn chuyển đổi trái phiếu,94188783378,VND
Vốn khác của chủ sở hữu,8977680000,VND
Chênh lệch tỷ giá hối đoái,10031813727,VND
Quỹ đầu tư phát triển,11134542824,VND
Lợi nhuận sau thuế chưa phân phối,133480076884,VND
- LNST CPP lũy kế đến cuối kỳ trước,45188069925,VND
- LNST chưa phân phối kỳ này,88292006959,VND
Lợi ích của cổ đông không kiểm soát,156837915939,VND
TỔNG CỘNG NGUỒN VỐN,6815607487674,VND
