Chi_tieu,Gia_tri,Don_vi
Tiền và các khoản tương đương tiền,373361501,Nghin VND
Các khoản phải thu ngắn hạn,934808193,Nghin VND
Hàng tồn kho – thuần,2325915141,Nghin VND
Tài sản ngắn hạn khác,166412450,Nghin VND
Các khoản phải thu dài hạn,132207304,Nghin VND
Tài sản cố định hữu hình – thuần,2769690331,Nghin VND
Tài sản cố định vô hình – thuần,2691189975,Nghin VND
Bất động sản đầu tư – thuần,630721518,Nghin VND
Xây dựng cơ bản dở dang,250781755,Nghin VND
Các khoản đầu tư tài chính dài hạn,239674491,Nghin VND
Thuế và các khoản phải nộp Nhà nước,-178615575,Nghin VND
Nợ ngắn hạn khác,-3082565247,Nghin VND
Vay ngắn hạn,-365520456,Nghin VND
Vay dài hạn,-152419674,Nghin VND
Thuế thu nhập hoãn lại phải trả,-1132674416,Nghin VND
Dự phòng phải trả dài hạn,-4730223368,Nghin VND
Nợ dài hạn khác,-1135437,Nghin VND
Lợi ích cổ đông không kiểm soát,-271324419,Nghin VND
Chênh lệch tỷ giá hối đoái,210537901,Nghin VND
Lợi nhuận từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động kinh doanh hợp nhất (Thuyết minh 29)(= [3] + [2] - [1]),1405929713,Nghin VND
Xóa số tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế của HCS khi thoái vốn (Thuyết minh 35),-442502209,Nghin VND
Lợi nhuận ròng từ chuyển nhượng công ty con trong báo cáo kết quả hoạt động hợp nhất,963427504,Nghin VND
Tổng tiền thu được sau chi phí giao dịch,3135668310,Nghin VND
Tiền và các khoản tương đương tiền của các công ty con được chuyển nhượng,-373361501,Nghin VND
Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,2762306809,Nghin VND
