Chi_tieu,Gia_tri,Don_vi
Lợi nhuận kế toán trước thuế thu nhập doanh nghiệp,43770835805,VND
Các khoản thu nhập được miễn thuế thu nhập doanh nghiệp,30961860080,VND
Chi phí không được trừ khi tính thuế thu nhập doanh nghiệp,8659627102,VND
Thu nhập tính thuế thu nhập doanh nghiệp,21468602827,VND
Thuế suất thuế thu nhập doanh nghiệp hiện hành,20,%
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành,4293720565,VND
Lợi nhuận kế toán trước thuế thu nhập doanh nghiệp,341664263517,VND
Lỗ được chuyển và bù trừ lãi lỗ các hoạt động,-15683699525,VND
Thu nhập tính thuế thu nhập doanh nghiệp,325980563992,VND
Thuế suất thuế thu nhập doanh nghiệp hiện hành,20,%
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế hoạt động sản xuất kinh doanh thông thường năm hiện hành,65196112798,VND
Lợi nhuận kế toán trước thuế thu nhập doanh nghiệp,-15683699525,VND
Thu nhập tính thuế thu nhập doanh nghiệp,-15683699525,VND
Thuế suất thuế thu nhập doanh nghiệp hiện hành,10,%
Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm nay,665213679,VND
Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,70155047042,VND
