Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi và các khoản thu nhập tương tự,13556729,Trieu VND
Chi phí lãi và các chi phí tương tự,10109831,Trieu VND
Thu nhập lãi thuần,3446898,Trieu VND
Thu nhập từ hoạt động dịch vụ,239956,Trieu VND
Chi phí hoạt động dịch vụ,58791,Trieu VND
Lãi/lỗ thuần từ hoạt động dịch vụ,181165,Trieu VND
Lãi/Lỗ thuần từ hoạt động kinh doanh ngoại hối,75640,Trieu VND
Lãi/Lỗ thuần từ mua bán chứng khoán đầu tư,178778,Trieu VND
Thu nhập từ hoạt động khác,124275,Trieu VND
Chi phí hoạt động khác,24634,Trieu VND
Lãi/Lỗ thuần từ hoạt động khác,99641,Trieu VND
"Thu nhập từ góp vốn, mua cổ phần",53838,Trieu VND
Chi phí hoạt động,2320344,Trieu VND
Lợi nhuận thuần từ hoạt động kinh doanh trước dự phòng rủi ro tín dụng,1715616,Trieu VND
Chi phí dự phòng rủi ro tín dụng,242047,Trieu VND
Tổng lợi nhuận trước thuế,1473569,Trieu VND
Chi phí thuế TNDN hiện hành,283968,Trieu VND
Chi phí thuế TNDN,283968,Trieu VND
Lợi nhuận sau thuế,1189601,Trieu VND
Lợi nhuận sau thuế của Cổ đông Ngân hàng,1189601,Trieu VND
Lãi cơ bản trên cổ phiếu (VND/ cổ phiếu),1141,VND/co phieu
