Chi_tieu,Gia_tri,Don_vi
Lãi tiền gửi,130835723223,VND
Lãi chênh lệch tỷ giá hối đoái đã thực hiện,29686857823,VND
Lỗ thuần do đánh giá lại các khoản có gốc ngoại tệ cuối năm,7009326758,VND
Lãi tiền vay,18580201013,VND
Chiết khấu thanh toán,2319050000,VND
Phí bảo lãnh,197673181,VND
Lỗ chênh lệch tỷ giá hối đoái đã thực hiện,23976005430,VND
"Chi phí quảng cáo, truyền thông",106443848845,VND
"Chi phí vận chuyển, bốc xếp lưu kho",86281217917,VND
Chi phí an sinh xã hội,57412538334,VND
Chi phí nhân viên,53627510921,VND
Chi phí bán hàng tự doanh,18826047196,VND
Chi phí khấu hao TSCĐ,5713708158,VND
