Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi thuần,4020697,Trieu dong
Các khoản thu nhập ngoài lãi,2509460,Trieu dong
TỔNG THU NHẬP HOẠT ĐỘNG,6530157,Trieu dong
TỔNG CHI PHÍ HOẠT ĐỘNG,-5678323,Trieu dong
Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tín dụng,851834,Trieu dong
Chi phí dự phòng rủi ro tín dụng,-696243,Trieu dong
TỔNG LỢI NHUẬN TRƯỚC THUẾ,155591,Trieu dong
Tổng chi phí thuế thu nhập doanh nghiệp,-66982,Trieu dong
LỢI NHUẬN SAU THUẾ,88609,Trieu dong
Tiền gửi tại và cho vay các TCTD khác,2484336,Trieu dong
Cho vay và cho thuê tài chính khách hàng,196428077,Trieu dong
Hoạt động mua nợ,751748,Trieu dong
Đầu tư,65643371,Trieu dong
Tài sản khác,66715511,Trieu dong
TỔNG TÀI SẢN,332023043,Trieu dong
Các khoản nợ NHNN Việt Nam,3774694,Trieu dong
Tiền gửi và vay các TCTD khác,8109652,Trieu dong
Tiền gửi của khách hàng,291653101,Trieu dong
Nợ phải trả khác,6293662,Trieu dong
TỔNG NỘ PHẢI TRẢ,309831109,Trieu dong
