Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGẮN HẠN,12312424,Trieu VND
Tiền và các khoản tương đương tiền,2884680,Trieu VND
Đầu tư tài chính ngắn hạn,125918,Trieu VND
Đầu tư nằm giữ đến ngày đáo hạn,125918,Trieu VND
Các khoản phải thu ngắn hạn,2016405,Trieu VND
Phải thu ngắn hạn của khách hàng,1674317,Trieu VND
Trả trước cho người bán ngắn hạn,94909,Trieu VND
Phải thu ngắn hạn khác,710589,Trieu VND
Dự phòng phải thu ngắn hạn khó đòi,-463410,Trieu VND
Hàng tồn kho,295010,Trieu VND
Hàng tồn kho,295010,Trieu VND
Tài sản ngắn hạn khác,6990411,Trieu VND
Chi phí trả trước ngắn hạn,83717,Trieu VND
Thuế giá trị gia tăng được khấu trừ,51975,Trieu VND
Thuế và các khoản khác phải thu Nhà nước,721,Trieu VND
Tài sản ngắn hạn khác,6853998,Trieu VND
TÀI SẢN DÀI HẠN,42913731,Trieu VND
Các khoản phải thu dài hạn,19258,Trieu VND
Phải thu dài hạn khác,19258,Trieu VND
Tài sản cố định,221394,Trieu VND
Tài sản cố định hữu hình,202635,Trieu VND
- Nguyên giá,479991,Trieu VND
- Giá trị hao mòn lũy kế,-277356,Trieu VND
Tài sản cố định vô hình,18759,Trieu VND
- Nguyên giá,88456,Trieu VND
- Giá trị hao mòn lũy kế,-69697,Trieu VND
Bất động sản đầu tư,27084397,Trieu VND
- Nguyên giá,38354003,Trieu VND
- Giá trị hao mòn lũy kế,-11269606,Trieu VND
Tài sản dở dang dài hạn,801624,Trieu VND
Chi phí xây dựng cơ bản dở dang,801624,Trieu VND
Tài sản dài hạn khác,14787058,Trieu VND
Chi phí trả trước dài hạn,433005,Trieu VND
Tài sản thuế thu nhập hoãn lại,106787,Trieu VND
Tài sản dài hạn khác,14197937,Trieu VND
Lợi thế thương mại,49329,Trieu VND
TỔNG CỘNG TÀI SẢN (270=100+200),55226155,Trieu VND
Nợ PHẢI TRẢ,13303514,Trieu VND
Nợ ngắn hạn,5920740,Trieu VND
Phải trả người bán ngắn hạn,461938,Trieu VND
Người mua trả tiền trước ngắn hạn,184770,Trieu VND
Thuế và các khoản phải nộp Nhà nước,1135316,Trieu VND
Phải trả người lao động,245,Trieu VND
Chỉ phí phải trả ngắn hạn,1123855,Trieu VND
Doanh thu chưa thực hiện ngắn hạn,32655,Trieu VND
Phải trả ngắn hạn khác,968841,Trieu VND
Vay và nợ thuê tài chính ngắn hạn,2009752,Trieu VND
Dự phòng phải trả ngắn hạn,1812,Trieu VND
"Quỹ khen thưởng, phúc lợi",1556,Trieu VND
Nợ dài hạn,7382774,Trieu VND
Doanh thu chưa thực hiện dài hạn,126557,Trieu VND
Phải trả dài hạn khác,4663323,Trieu VND
Vay và nợ thuê tài chính dài hạn,2523103,Trieu VND
Thuế thu nhập hoãn lại phải trả,69791,Trieu VND
VỐN CHỦ SỞ HỮU,41922641,Trieu VND
Vốn chủ sở hữu,41922641,Trieu VND
Vốn góp của chủ sở hữu,23288184,Trieu VND
- Cổ phiếu phổ thông có quyền biểu quyết,23288184,Trieu VND
Thặng dư vốn cổ phần,46983,Trieu VND
Cổ phiếu quỹ,-1954258,Trieu VND
Quỹ khác thuộc vốn chủ sở hữu,-53137,Trieu VND
Lợi nhuận sau thuế chưa phân phối,20594507,Trieu VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,16498727,Trieu VND
- Lợi nhuận sau thuế chưa phân phối năm nay,4095780,Trieu VND
Lợi ích của cổ đông không kiểm soát,362,Trieu VND
TỔNG CỘNG NGUỒN VỐN (440=300+400),55226155,Trieu VND
